G1X,G1Y,G1Z,A1X,A1Y,A1Z,G2X,G2Y,G2Z,A2X,A2Y,A2Z,timestamp
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1635935500000.0
1.6098022,1.2512207,0.17547607,0.04272461,0.06225586,0.03100586,0.0,0.0,0.0,0.0,0.0,0.0,1635935500000.0
1.7700195,1.8081665,1.5792847,0.057617188,0.0012207031,0.005126953,0.0,0.0,0.0,0.0,0.0,0.0,1635935500000.0
1.6403198,1.6174316,0.5264282,0.0014648438,0.056884766,0.05444336,0.0,0.0,0.0,0.0,0.0,0.0,1635935500000.0
0.061035156,1.7166138,1.2664795,0.010009766,0.05908203,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,1635935500000.0
1.449585,0.0,0.7247925,0.01953125,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,1635935500000.0
1.8463135,0.091552734,1.5258789,0.022949219,0.028564453,0.046142578,0.0,0.0,0.0,0.0,0.0,0.0,1635935500000.0
0.2975464,1.8692017,0.64086914,0.0056152344,0.06225586,0.03100586,1.6555786,0.030517578,0.9994507,0.020751953,0.061523438,0.012939453,1635935500000.0
0.7019043,1.0147095,0.0,0.03125,0.06225586,0.03100586,0.89263916,1.1749268,0.32043457,0.012207031,0.036132812,0.061279297,1635935500000.0
1.9073486,1.8615723,0.21362305,0.044433594,0.037841797,0.013427734,1.6555786,0.48828125,0.0,0.03125,0.032714844,0.044921875,1635935500000.0
0.6790161,0.0076293945,0.5264282,0.053466797,0.023925781,0.059570312,1.4038086,1.8310547,0.0,0.03125,0.029052734,0.036376953,1635935500000.0
1.8539429,1.7547607,0.44250488,0.0073242188,0.05444336,0.042236328,0.0076293945,0.19073486,1.8005371,0.0063476562,0.03881836,0.061523438,1635935500000.0
0.30517578,1.6021729,1.7929077,0.024902344,0.03173828,0.04248047,1.5563965,1.9454956,1.2588501,0.030761719,0.049560547,0.011474609,1635935500000.0
0.2670288,0.44250488,1.9454956,0.03100586,0.0021972656,0.04272461,1.7700195,1.449585,0.22125244,0.06201172,0.025634766,0.0036621094,1635935500000.0
0.38146973,1.8386841,0.11444092,0.0036621094,0.029296875,0.00048828125,0.579834,0.0,1.1444092,0.021972656,0.04321289,0.011230469,1635935500000.0
1.7547607,1.4801025,1.0910034,0.044189453,0.03564453,0.020263672,1.3275146,1.1520386,1.8997192,0.013916016,0.053222656,0.005859375,1635935500000.0
1.3046265,0.22888184,0.35858154,0.05883789,0.044677734,0.0014648438,0.78582764,0.8544922,0.0,0.03125,0.032226562,0.05834961,1635935500000.0
1.449585,0.17547607,0.061035156,0.0546875,0.060791016,0.053955078,0.076293945,1.876831,0.0,0.03125,0.05834961,0.04663086,1635935500000.0
0.89263916,0.4043579,0.8621216,0.0043945312,0.03955078,0.035888672,0.1373291,0.8773804,0.5874634,0.04711914,0.0048828125,0.05102539,1635935500000.0
1.3504028,0.22125244,0.9689331,0.0007324219,0.05444336,0.047851562,1.5869141,0.32043457,1.7700195,0.02368164,0.008056641,0.016357422,1635935500000.0
0.10681152,0.61798096,0.50354004,0.0075683594,0.037353516,0.043701172,0.8468628,0.19836426,1.373291,0.06201172,0.04638672,0.0048828125,1635935500000.0
0.9841919,0.78582764,1.4801025,0.010986328,0.050048828,0.045654297,1.9454956,0.9689331,0.038146973,0.06201172,0.040039062,0.01586914,1635935500000.0
1.1291504,1.739502,1.2893677,0.016601562,0.0390625,0.0546875,0.48065186,0.4348755,1.3275146,0.04272461,0.057861328,0.009033203,1635935500000.0
1.2054443,1.7852783,1.5487671,0.010009766,0.007080078,0.032470703,0.77819824,1.8157959,0.5569458,0.0034179688,0.017822266,0.0012207031,1635935500000.0
1.9226074,1.8463135,1.8157959,0.012451172,0.0,0.03125,1.6479492,1.9454956,0.2975464,0.061767578,0.044677734,0.00390625,1635935500000.0
0.74005127,0.05340576,0.61035156,0.015380859,0.0,0.03125,0.74768066,0.0076293945,0.15258789,0.055664062,0.022460938,0.0007324219,1635935500000.0
0.8239746,1.3275146,1.8997192,0.012207031,0.020507812,0.049072266,1.4266968,1.8844604,1.7623901,0.05834961,0.036132812,0.008544922,1635935500000.0
0.75531006,0.22125244,1.1825562,0.025146484,0.026123047,0.01586914,0.4272461,0.831604,0.6942749,0.007080078,0.014892578,0.021240234,1635935500000.0
0.7171631,1.4343262,0.8163452,0.014404297,0.06225586,0.03100586,0.06866455,0.5645752,0.30517578,0.0,0.032714844,0.015380859,1635935500000.0
0.34332275,0.0,0.11444092,0.03930664,0.06201172,0.025146484,1.8844604,0.33569336,0.0,0.03125,0.0036621094,0.055908203,1635935500000.0
0.4119873,1.876831,1.3275146,0.05517578,0.015136719,0.012451172,1.8386841,0.5722046,0.0,0.03125,0.0041503906,0.042236328,1635935500000.0
0.8239746,1.5335083,1.1367798,0.0056152344,0.0,0.03125,1.0375977,1.9073486,0.9460449,0.05102539,0.05078125,0.001953125,1635935500000.0
0.1373291,0.5264282,1.0757446,0.01928711,0.0,0.03125,1.0299683,0.05340576,0.22888184,0.016845703,0.061523438,0.0026855469,1635935500000.0
1.159668,0.1296997,0.46539307,0.018310547,0.04248047,0.041259766,1.6174316,0.061035156,1.3656616,0.0021972656,0.01928711,0.008544922,1635935500000.0
1.5792847,1.8692017,1.0757446,0.024169922,0.010253906,0.026367188,0.5187988,0.289917,1.0757446,0.01953125,0.007080078,0.015380859,1635935500000.0
1.3198853,1.3885498,1.0375977,0.05908203,0.06225586,0.03100586,0.48828125,1.3046265,1.7471313,0.015380859,0.024169922,0.009521484,1635935500000.0
0.4272461,1.6174316,0.6637573,0.051757812,0.001953125,0.018798828,1.3504028,0.46539307,0.0,0.03125,0.038085938,0.049316406,1635935500000.0
0.31280518,1.8615723,1.4648438,0.061279297,0.024658203,0.0034179688,0.9460449,0.12207031,0.0,0.03125,0.020507812,0.035888672,1635935500000.0
0.35095215,1.5258789,1.0604858,0.00390625,0.047851562,0.03930664,1.876831,1.8463135,1.625061,0.0012207031,0.043945312,0.059326172,1635935500000.0
1.5716553,1.2359619,1.4038086,0.0107421875,0.0,0.03125,0.10681152,0.74005127,1.9454956,0.03100586,0.038085938,0.005859375,1635935500000.0
1.9454956,0.9689331,1.1901855,0.02734375,0.03100586,0.033447266,1.1367798,1.8539429,1.2130737,0.008056641,0.053710938,0.0061035156,1635935500000.0
1.1444092,1.6479492,1.3198853,0.01586914,0.007080078,0.022705078,0.7324219,1.7166138,0.89263916,0.016113281,0.060302734,0.01977539,1635935500000.0
0.60272217,1.3885498,1.8463135,0.061767578,0.06225586,0.03100586,1.159668,1.3198853,0.24414062,0.014892578,0.005859375,0.005126953,1635935500000.0
1.8386841,1.2588501,0.30517578,0.041259766,0.0029296875,0.028320312,0.045776367,0.17547607,0.38909912,0.04736328,0.045166016,0.052490234,1635935500000.0
0.30517578,1.7852783,0.77056885,0.04663086,0.042236328,0.0012207031,0.49591064,0.2670288,0.0,0.03125,0.0,0.03125,1635935500000.0
0.5340576,1.5182495,0.2975464,0.0043945312,0.037109375,0.046142578,0.22888184,1.8997192,1.0604858,0.047607422,0.032958984,0.047607422,1635935500000.0
0.4348755,1.045227,0.1373291,0.027832031,0.03125,0.045410156,0.0,0.9765625,1.9454956,0.03100586,0.0,0.03125,1635935500000.0
0.76293945,0.5645752,1.9454956,0.03100586,0.053466797,0.046142578,0.50354004,1.8310547,0.34332275,0.01953125,0.010009766,0.013427734,1635935500000.0
1.1062622,0.49591064,1.914978,0.013671875,0.029052734,0.049804688,0.7247925,1.1520386,0.21362305,0.009033203,0.04321289,0.0034179688,1635935500000.0
1.045227,1.6784668,0.19073486,0.049804688,0.06225586,0.03100586,1.5335083,0.1373291,1.1825562,0.024658203,0.037109375,0.017578125,1635935500000.0
0.0,0.9765625,0.0,0.03125,0.0063476562,0.029052734,1.7929077,1.3275146,0.022888184,0.0075683594,0.0126953125,0.0,1635935500000.0
0.061035156,1.9378662,0.9689331,0.04663086,0.008300781,0.0009765625,1.449585,0.48065186,0.0,0.03125,0.01171875,0.033447266,1635935500000.0
1.6860962,1.7242432,1.701355,0.057861328,0.060302734,0.05102539,1.9226074,0.23651123,0.0,0.03125,0.0,0.03125,1635935500000.0
1.5563965,1.5563965,0.7019043,0.007080078,0.041992188,0.041503906,1.1749268,0.05340576,0.18310547,0.0075683594,0.0026855469,0.0017089844,1635935500000.0
1.5640259,1.914978,1.9454956,0.03100586,0.043945312,0.05102539,1.0757446,0.6637573,1.9454956,0.03100586,0.057861328,0.024414062,1635935500000.0
1.9454956,0.9689331,1.9454956,0.03100586,0.020507812,0.035888672,1.0757446,0.6637573,1.9454956,0.03100586,0.057861328,0.024414062,1635935500000.0
1.121521,1.8157959,0.5340576,0.020751953,0.0,0.03125,1.7700195,1.9302368,1.9302368,0.01977539,0.0068359375,0.0146484375,1635935500000.0
1.3198853,0.2593994,0.50354004,0.060546875,0.0075683594,0.00024414062,1.9302368,1.2207031,0.5340576,0.0126953125,0.03564453,0.008544922,1635935500000.0
1.7166138,1.3656616,0.61798096,0.035888672,0.05883789,0.030761719,0.08392334,0.8544922,0.44250488,0.03125,0.03857422,0.05908203,1635935500000.0
1.045227,1.8844604,0.9918213,0.045166016,0.052490234,0.025146484,1.7318726,0.091552734,0.0,0.03125,0.052978516,0.044433594,1635935500000.0
1.8844604,0.48828125,0.4348755,0.0043945312,0.053222656,0.051757812,1.9454956,0.9689331,0.46539307,0.04663086,0.016601562,0.05517578,1635935500000.0
1.9454956,0.9689331,0.5264282,0.011962891,0.03491211,0.049804688,0.05340576,0.24414062,0.030517578,0.0126953125,0.035888672,0.0014648438,1635935500000.0
0.06866455,0.4348755,1.3809204,0.013916016,0.001953125,0.05419922,1.739502,0.19836426,0.91552734,0.056640625,0.060302734,0.0,1635935500000.0
0.045776367,0.5569458,1.373291,0.0048828125,0.009277344,0.053222656,1.9454956,0.9689331,1.8310547,0.048095703,0.04638672,0.016357422,1635935500000.0
0.8773804,0.44250488,0.77056885,0.001953125,0.0,0.049560547,1.9454956,0.9689331,1.663208,0.05883789,0.009765625,0.006591797,1635935500000.0
1.083374,0.4196167,1.1825562,0.061523438,0.0,0.03125,1.045227,0.10681152,0.6790161,0.060791016,0.031982422,0.0048828125,1635935500000.0
1.5411377,0.1449585,0.9536743,0.010498047,0.0,0.03125,0.35095215,1.7242432,0.50354004,0.056152344,0.055908203,0.0026855469,1635935500000.0
0.5874634,0.64086914,0.4348755,0.026611328,0.012451172,0.056640625,0.9994507,1.7700195,0.015258789,0.05883789,0.048828125,0.004638672,1635935500000.0
0.22125244,0.77056885,1.9454956,0.03100586,0.06225586,0.03100586,0.16021729,0.46539307,1.6098022,0.007080078,0.033447266,0.022705078,1635935500000.0
